code,kis_sector,kis_market,updated_at
042000,IT 서비스,KSQ150,2026-09-04T04:26:32.902169+00:00
042420,IT 서비스,KOSDAQ,2026-09-04T04:27:46.747208+00:00
042600,전기·전자,KOSDAQ,2026-09-04T04:29:00.799194+00:00
042660,운송장비·부품,KOSPI200,2026-08-29T15:36:31.213493+00:00
042700,기계·장비,KOSPI200,2026-08-29T15:36:39.151145+00:00
043150,의료·정밀기기,KOSDAQ,2026-09-04T04:29:15.111445+00:00
043260,전기·전자,KSQ150,2026-08-29T15:39:27.852836+00:00
044490,금속,KOSDAQ,2026-09-04T04:32:41.135638+00:00
046890,전기·전자,KOSDAQ,2026-09-04T04:24:14.524925+00:00
047040,건설,KOSPI200,2026-08-29T15:37:38.277673+00:00
047050,유통,KOSPI200,2026-08-29T15:37:31.446145+00:00
047310,전기·전자,KOSDAQ,2026-09-04T04:29:50.495389+00:00
047810,운송장비·부품,KOSPI200,2026-08-29T15:37:07.542749+00:00
047920,일반서비스,KOSDAQ,2026-09-04T04:28:21.800246+00:00
048260,UNKNOWN,KOSPI,2026-09-04T04:24:16.667740+00:00
048410,화학,KSQ150,2026-09-04T04:24:18.736157+00:00
048530,제약,KOSDAQ,2026-09-04T04:24:20.833000+00:00
049070,전기·전자,KOSDAQ,2026-09-04T04:27:56.985974+00:00
